Exchange Current Density,Log10 ECD,reacting element,concentration (M),electrons transferred,Std Reduction Pot,Ionization energy (eV),Atomic radius,Atomic mass,Atomic volume cm3/mol),Dipole polarizability (au),Electron affinity (eV),Allen Electronegativity (eV),Ghosh Electronegativity,Pauling Electronegativity,Ionic radius (pm),Cohesive Energy (eV/atom),,,
1.98E-04,-3.70333481,Bi,0.004,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.55E-04,-3.59345982,Bi,0.008,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.51E-04,-3.454692884,Bi,17.7,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
4.55E-04,-3.341988603,Bi,0.0384,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.00E-04,-3.522878745,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.00E-04,-3.522878745,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.50E-05,-4.455931956,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.80E-06,-5.552841969,Bi,0.0000043,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
4.30E-06,-5.366531544,Bi,0.001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.20E-05,-4.494850022,Bi,0.001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.90E-04,-3.721246399,Bi,0.001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.80E-04,-3.420216403,Bi,0.001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
8.50E-05,-4.070581074,Bi,0.1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.60E-05,-4.585026652,Bi,0.001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.00E-02,-2,Bi,0.0028,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
7.00E-05,-4.15490196,Bi,0.0001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.00E-05,-5,Bi,0.0000001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
6.60E-05,-4.180456064,Bi,0.0000001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1
1.40E-03,-2.853871964,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
1.80E-04,-3.744727495,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
2.50E-04,-3.602059991,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
3.59E-04,-3.444905551,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
8.40E-05,-4.075720714,Bi,0.0000001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
4.70E-04,-3.327902142,Bi,0.0000001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
3.50E-05,-4.455931956,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.00E-05,-4.698970004,Bi,0.00078,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
5.60E-05,-4.251811973,Bi,0.00078,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.00E-06,-5.698970004,Bi,0.0000043,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
4.30E-05,-4.366531544,Bi,0.1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
6.90E-06,-5.161150909,Bi,0.1,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.50E-05,-4.455931956,Bi,0.1,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.10E-04,-3.677780705,Bi,0.1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
9.60E-05,-4.017728767,Bi,0.1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
8.60E-05,-4.065501549,Bi,0.1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.60E-05,-4.443697499,Bi,0.00078,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
6.00E-05,-4.22184875,Bi,0.000078,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
6.80E-07,-6.167491087,Bi,0.0000043,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
9.60E-05,-4.017728767,Bi,0.1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.52E+00,0.181843588,Bi,1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
9.00E-01,-0.045757491,Bi,1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
2.60E-01,-0.585026652,Bi,1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
1.40E-04,-3.853871964,Bi,0.00078,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.30E-04,-3.886056648,Bi,0.00078,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
6.40E-04,-3.193820026,Bi,0.0000043,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
5.60E-04,-3.251811973,Bi,0.0000043,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.00E-06,-6,Bi,0.1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.00E-06,-6,Bi,0.1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.20E-05,-4.494850022,Bi,0.1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.00E-01,-1,Bi,0.001,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
4.00E-02,-1.397940009,Bi,0.005,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
8.50E-05,-4.070581074,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
7.00E-05,-4.15490196,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
2.00E-04,-3.698970004,Bi,1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
3.60E-05,-4.443697499,Bi,1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
9.60E-05,-4.017728767,Bi,1,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
4.30E-05,-4.366531544,Bi,1,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
2.00E-05,-4.698970004,Bi,1,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
6.90E-06,-5.161150909,Bi,1,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
1.00E-06,-6,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
3.20E-05,-4.494850022,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
,,,,,,,,,,,,,,,,,,,1
1.30E-04,-3.886056648,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.70E-03,-2.431798276,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
5.00E-03,-2.301029996,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.80E-03,-2.744727495,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
7.20E-04,-3.142667504,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.50E-03,-2.602059991,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
9.40E-03,-2.026872146,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
7.94E-09,-8.100179498,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
1.58E-11,-10.80134291,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
1.40E-03,-2.853871964,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.80E+01,1.832508913,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
9.10E-01,-0.040958608,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
2.90E+00,0.462397998,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.20E+01,1.079181246,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.00E+00,0.77815125,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
5.00E+00,0.698970004,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
2.50E+00,0.397940009,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.25E+00,0.096910013,Cd,0.0015,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.00E+00,0.77815125,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.20E+01,1.079181246,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
5.00E+00,0.698970004,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
7.00E+02,2.84509804,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
7.00E+02,2.84509804,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.25E+00,0.096910013,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
5.00E+00,0.698970004,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
2.00E+00,0.301029996,Cd,0.0015,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.10E+00,0.785329835,Cd,0.003,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.02E+01,1.008600172,Cd,0.0015,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.11E+01,1.045322979,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.00E-01,-0.22184875,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.30E+00,0.799340549,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.00E+00,0,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.00E-01,-0.22184875,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.50E+00,0.176091259,Cd,0.0015,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
3.10E+00,0.491361694,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
5.00E-04,-3.301029996,Cd,0.01,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
5.50E+00,0.740362689,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
2.00E-01,-0.698970004,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
2.00E-01,-0.698970004,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.50E+01,1.812913357,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
2.30E+00,0.361727836,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
4.00E+01,1.602059991,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
5.00E-01,-0.301029996,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.20E+00,0.079181246,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
4.60E-01,-0.337242168,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
4.00E-01,-0.397940009,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
3.80E-01,-0.420216403,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
4.80E-01,-0.318758763,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
3.80E-01,-0.420216403,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
4.60E-01,-0.337242168,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.60E-01,-0.795880017,Cd,0.000036,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1
4.20E-02,-1.37675071,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
4.20E-02,-1.37675071,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
4.50E-02,-1.346787486,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
2.60E-02,-1.585026652,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
4.31E+00,0.63447727,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
5.50E-01,-0.259637311,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.30E-02,-1.200659451,Cd,1,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
6.50E-02,-1.187086643,Cd,0.005,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
5.80E-02,-1.236572006,Cd,0.005,2,-0.403,8.993822,155,112.414,13.1,46,,8.995,0.1504066,1.69,78,1.16,,,1
1.69E-11,-10.7721133,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
2.51E-12,-11.60032628,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
,,,,,,,,,,,,,,,,,,,1
5.30E-05,-4.27572413,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
1.00E-06,-6,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
4.80E-06,-5.318758763,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
1.48E-05,-4.829738285,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
3.80E-04,-3.420216403,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
3.20E-04,-3.494850022,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
3.80E-04,-3.420216403,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
5.30E-08,-7.27572413,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
1.70E-05,-4.769551079,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
5.30E-08,-7.27572413,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
6.50E-07,-6.187086643,Ce,1,1,,5.5386,185,140.116,21,205,0.65,,0.16761,1.12,101,4.32,,,1
,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1
1.27E-04,-3.896196279,Cr,1,1,-0.424,6.76651,140,51.9961,7.23,83,0.666,9.77,0.1313053,1.66,73,4.1,,,1
5.90E-04,-3.229147988,Cu,1,2,0.3419,7.72638,135,63.546,7.1,46.5,1.235,10.96,0.1511716,1.9,46,3.49,,,1
,,,,,,,,,,,,,,,,,,,1
8.40E-04,-3.075720714,Eu,1,1,-0.35,5.670385,185,151.964,28.9,184,0.864,,0.189935,,117,1.86,,,1
1.37E-05,-4.863279433,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1
7.41E-05,-4.130181792,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
2.29E-05,-4.640164518,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
2.19E-05,-4.659555885,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
1.41E-05,-4.850780887,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
9.40E-04,-3.026872146,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
2.00E-04,-3.698970004,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
3.10E-04,-3.508638306,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
5.40E-04,-3.26760624,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
5.80E-04,-3.236572006,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
6.00E-04,-3.22184875,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
7.30E-04,-3.13667714,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
8.20E-04,-3.086186148,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
8.50E-05,-4.070581074,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
1.41E-05,-4.850780887,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
1.20E-04,-3.920818754,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
4.67E-10,-9.330683119,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
1.04E-10,-9.982966661,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
2.50E-03,-2.602059991,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
2.10E-06,-5.677780705,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
1.60E-05,-4.795880017,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
1.00E-03,-3,Fe,1,1,0.771,7.902468,140,55.845,7.1,62,0.151,10.64,0.1392532,1.83,63,4.28,,,1
